名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03
Mallets,00:30.0,00:05.9,0:00,0:00,Mallets,#03,FENG Tianwei,Back,F,BMS,NAGASAKI Miyu,F,Stop,FS
Mallets,00:44.3,00:05.1,0:00,0:00,Abyell,#02,FENG Tianwei,Back,F,BMS,NAGASAKI Miyu,B,Chiquita,BM
Abyell,00:56.6,00:07.2,0:00,0:00,Mallets,#04,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,F,Stop,FMS
Abyell,01:13.9,00:06.4,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,F,Push,BM
Mallets,01:30.1,00:06.1,0:00,0:00,Mallets,#03,NAGAO TAKAKO,Back,B,FMS,HAMAMOTO Yui,F,Stop,FMS
Mallets,01:44.7,00:06.0,0:00,0:00,Mallets,#03,NAGAO TAKAKO,Back,B,FS,HAMAMOTO Yui,F,Push,B
Abyell,02:11.1,00:06.9,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Push,B
Abyell,02:27.1,00:05.7,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,B,Chiquita,F
Mallets,02:46.8,00:05.3,0:00,0:00,Abyell,#02,FENG Tianwei,Back,F,B,NAGASAKI Miyu,B,ドライブ,BM
Mallets,03:01.9,00:06.2,0:00,0:00,Mallets,#01,FENG Tianwei,(Side),F,BMS,NAGASAKI Miyu,B,Chiquita,オーバーミス
Abyell,03:18.4,00:06.7,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Push,オーバーミス
Abyell,03:34.9,00:07.1,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,その他,B
Mallets,04:03.9,00:06.8,0:00,0:00,Abyell,#04,NAGAO TAKAKO,Back,B,FMS,HAMAMOTO Yui,F,その他,B
Mallets,04:19.9,00:06.3,0:00,0:00,Mallets,#03,NAGAO TAKAKO,Back,B,FMS,HAMAMOTO Yui,F,Stop,FMS
Abyell,04:38.4,00:06.5,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Push,BM
Abyell,04:53.5,00:04.7,0:00,0:00,,SV Let,HAMAMOTO Yui,(Side),F,,FENG Tianwei,,,
Abyell,05:03.7,00:06.3,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,FENG Tianwei,F,Flick,BM
